SD-	0.239	1
SD+	1.419	1
P5	-0.237	1
P6	-0.405	1
P7	-0.436	1
P8	-0.352	1
P9	-0.298	1
P10	0.638	1
P11	-0.302	1
P12	0.301	1
P13	0.288	1
P14	0.406	1
P15	0.685	1
P16	0.881	1
P17	0.789	1
P18	0.791	1
P19	1.014	1
P20	1.252	1
P21	1.419	1
SD-	0.243	0
SD+	1.423	0
P5	-0.233	0
P6	-0.401	0
P7	-0.432	0
P8	-0.348	0
P9	-0.294	0
P10	0.642	0
P11	-0.298	0
P12	0.305	0
P13	0.292	0
P14	0.410	0
P15	0.689	0
P16	0.885	0
P17	0.793	0
P18	0.795	0
P19	1.018	0
P20	1.256	0
P21	1.423	0
SD-	0.248	0
SD+	1.427	0
P5	-0.229	0
P6	-0.397	0
P7	-0.428	0
P8	-0.344	0
P9	-0.290	0
P10	0.646	0
P11	-0.294	0
P12	0.309	0
P13	0.296	0
P14	0.414	0
P15	0.693	0
P16	0.889	0
P17	0.797	0
P18	0.799	0
P19	1.022	0
P20	1.260	0
P21	1.427	0
SD-	0.252	0
SD+	1.430	0
P5	-0.225	0
P6	-0.393	0
P7	-0.424	0
P8	-0.340	0
P9	-0.286	0
P10	0.650	0
P11	-0.290	0
P12	0.313	0
P13	0.299	0
P14	0.418	0
P15	0.697	0
P16	0.893	0
P17	0.801	0
P18	0.803	0
P19	1.025	0
P20	1.264	0
P21	1.431	0
SD-	0.256	0
SD+	1.434	0
P5	-0.221	0
P6	-0.389	0
P7	-0.420	0
P8	-0.336	0
P9	-0.282	0
P10	0.654	0
P11	-0.286	0
P12	0.317	0
P13	0.303	0
P14	0.422	0
P15	0.701	0
P16	0.897	0
P17	0.805	0
P18	0.807	0
P19	1.029	0
P20	1.268	0
P21	1.434	0
SD-	0.260	0
SD+	1.438	0
P5	-0.217	0
P6	-0.385	0
P7	-0.416	0
P8	-0.331	0
P9	-0.278	0
P10	0.658	0
P11	-0.282	0
P12	0.321	0
P13	0.307	0
P14	0.426	0
P15	0.705	0
P16	0.901	0
P17	0.809	0
P18	0.811	0
P19	1.033	0
P20	1.272	0
P21	1.438	0
SD-	0.264	0
SD+	1.442	0
P5	-0.213	0
P6	-0.381	0
P7	-0.412	0
P8	-0.327	0
P9	-0.274	0
P10	0.662	0
P11	-0.278	0
P12	0.324	0
P13	0.311	0
P14	0.430	0
P15	0.709	0
P16	0.905	0
P17	0.813	0
P18	0.815	0
P19	1.037	0
P20	1.276	0
P21	1.442	0
SD-	0.269	0
SD+	1.446	0
P5	-0.208	0
P6	-0.377	0
P7	-0.408	0
P8	-0.323	0
